央视频道,#genre#
中国交通频道,http://192.168.123.1:8888/udp/239.253.240.177:8000

纪实人文,http://192.168.123.1:8888/udp/239.253.240.120:8000

汽摩,http://192.168.123.1:8888/udp/239.253.240.161:8000



新动漫,http://192.168.123.1:8888/udp/239.253.240.149:8000
新动漫,http://192.168.123.1:8888/udp/239.253.240.157:8000

哈哈炫动,http://192.168.123.1:8888/udp/239.253.240.63:8000

优漫卡通,http://192.168.123.1:8888/udp/239.253.240.64:8000

环球旅游,http://192.168.123.1:8888/udp/239.253.240.071:8000

优优宝贝,http://192.168.123.1:8888/udp/239.253.240.072:8000

车迷频道,http://192.168.123.1:8888/udp/239.253.240.073:8000

生态环境,http://192.168.123.1:8888/udp/239.253.240.075:8000

中华特产,http://192.168.123.1:8888/udp/239.253.240.076:8000

四海钓鱼,http://192.168.123.1:8888/udp/239.253.240.118:8000

书法美术,http://192.168.123.1:8888/udp/239.253.240.146:8000

家庭理财,http://192.168.123.1:8888/udp/239.253.240.148:8000

家有购物,http://192.168.123.1:8888/udp/239.253.240.150:8000





轮播频道,#genre#

轮播1,http://192.168.123.1:8888/udp/239.253.240.124:8000
轮播2,http://192.168.123.1:8888/udp/239.253.240.125:8000
轮播3,http://192.168.123.1:8888/udp/239.253.240.126:8000
轮播4,http://192.168.123.1:8888/udp/239.253.240.127:8000
轮播5,http://192.168.123.1:8888/udp/239.253.240.128:8000
轮播6,http://192.168.123.1:8888/udp/239.253.240.129:8000
轮播7,http://192.168.123.1:8888/udp/239.253.240.130:8000
轮播8,http://192.168.123.1:8888/udp/239.253.240.201:8000
轮播9,http://192.168.123.1:8888/udp/239.253.240.202:8000
轮播10,http://192.168.123.1:8888/udp/239.253.240.203:8000
轮播11,http://192.168.123.1:8888/udp/239.253.240.204:8000
轮播12,http://192.168.123.1:8888/udp/239.253.240.205:8000
轮播13,http://192.168.123.1:8888/udp/239.253.240.207:8000
轮播14,http://192.168.123.1:8888/udp/239.253.240.208:8000
轮播15,http://192.168.123.1:8888/udp/239.253.240.209:8000
轮播16,http://192.168.123.1:8888/udp/239.253.240.210:8000
轮播17,http://192.168.123.1:8888/udp/239.253.240.211:8000
轮播18,http://192.168.123.1:8888/udp/239.253.240.212:8000
轮播19,http://192.168.123.1:8888/udp/239.253.240.213:8000
轮播20,http://192.168.123.1:8888/udp/239.253.240.214:8000
轮播21,http://192.168.123.1:8888/udp/239.253.240.215:8000
轮播22,http://192.168.123.1:8888/udp/239.253.240.216:8000
轮播23,http://192.168.123.1:8888/udp/239.253.240.217:8000
轮播24,http://192.168.123.1:8888/udp/239.253.240.218:8000
轮播25,http://192.168.123.1:8888/udp/239.253.240.219:8000
轮播26,http://192.168.123.1:8888/udp/239.253.240.220:8000
轮播27,http://192.168.123.1:8888/udp/239.253.240.221:8000
轮播28,http://192.168.123.1:8888/udp/239.253.240.222:8000
轮播29,http://192.168.123.1:8888/udp/239.253.240.223:8000
轮播30,http://192.168.123.1:8888/udp/239.253.240.224:8000
轮播31,http://192.168.123.1:8888/udp/239.253.240.225:8000
轮播32,http://192.168.123.1:8888/udp/239.253.240.226:8000
轮播33,http://192.168.123.1:8888/udp/239.253.240.227:8000
轮播34,http://192.168.123.1:8888/udp/239.253.240.228:8000
轮播35,http://192.168.123.1:8888/udp/239.253.240.229:8000
轮播36,http://192.168.123.1:8888/udp/239.253.240.132:8000
轮播37,http://192.168.123.1:8888/udp/239.253.240.135:8000
轮播38,http://192.168.123.1:8888/udp/239.253.240.136:8000
轮播39,http://192.168.123.1:8888/udp/239.253.240.137:8000
轮播40,http://192.168.123.1:8888/udp/239.253.240.138:8000









